,suhu udara,kelembaban udara,suhu tanah,kelembaban tanah,cahaya,arus solar,arus aki,tegangan solar,tegangan aki,status
18895,27.04,59,31.35,139,14473,0.243,0.001,10.131,9.333,mendung kering
18896,27.13,55,34.83,135,15861,0.235,0.002,10.278,9.295,mendung kering
18897,28.19,62,37.09,142,14513,0.234,0.001,10.285,9.274,mendung kering
18898,28.11,65,37.12,144,14109,0.234,0.001,10.191,9.276,mendung kering
18899,28.28,59,32.26,142,16042,0.242,0.001,10.216,9.26,mendung kering
18900,28.17,56,35.96,142,15691,0.242,0.001,10.211,9.372,mendung kering
18901,27.01,55,38.96,136,16750,0.236,0.002,10.25,9.204,mendung kering
18902,27.04,57,39.05,140,14393,0.236,0.001,10.176,9.218,mendung kering
18903,27.17,61,33.78,137,14585,0.238,0.001,10.273,9.472,mendung kering
18904,27.43,59,36.17,144,14403,0.238,0.002,10.225,9.361,mendung kering
18905,27.38,61,34.31,138,15238,0.24,0.002,10.16,9.47,mendung kering
18906,27.0,60,33.44,143,14044,0.226,0.002,10.179,9.198,mendung kering
18907,27.67,64,38.17,141,15701,0.231,0.002,10.249,9.292,mendung kering
18908,28.32,56,32.43,142,16397,0.232,0.002,10.272,9.216,mendung kering
18909,27.79,63,38.46,139,16604,0.242,0.002,10.155,9.414,mendung kering
18910,27.21,59,31.49,143,15967,0.24,0.001,10.14,9.488,mendung kering
18911,27.44,62,33.53,137,15491,0.236,0.001,10.143,9.373,mendung kering
18912,27.02,57,35.16,145,14808,0.243,0.001,10.136,9.442,mendung kering
18913,27.02,64,32.02,141,14905,0.241,0.002,10.167,9.436,mendung kering
18914,27.15,62,33.75,144,15960,0.234,0.001,10.13,9.338,mendung kering
18915,27.13,61,33.9,139,14607,0.242,0.001,10.128,9.431,mendung kering
18916,27.63,55,36.42,138,16724,0.231,0.001,10.187,9.334,mendung kering
18917,28.32,65,32.56,144,14628,0.241,0.001,10.23,9.404,mendung kering
18918,28.19,57,35.59,135,16192,0.24,0.001,10.148,9.233,mendung kering
18919,28.5,56,33.67,139,15252,0.242,0.002,10.156,9.233,mendung kering
18920,27.23,56,31.77,143,16429,0.237,0.001,10.173,9.41,mendung kering
18921,27.12,59,35.15,143,15561,0.227,0.001,10.139,9.449,mendung kering
18922,27.56,62,34.14,144,16181,0.233,0.002,10.198,9.48,mendung kering
18923,27.73,62,37.09,142,14543,0.233,0.002,10.148,9.179,mendung kering
18924,27.62,61,37.66,142,16288,0.225,0.002,10.271,9.467,mendung kering
18925,27.55,58,33.17,140,14704,0.227,0.002,10.146,9.467,mendung kering
18926,28.05,63,32.83,137,16118,0.239,0.002,10.16,9.353,mendung kering
18927,28.16,60,33.46,137,15373,0.24,0.001,10.248,9.273,mendung kering
18928,28.07,62,35.88,138,16032,0.227,0.002,10.26,9.397,mendung kering
18929,27.85,63,31.75,138,14563,0.234,0.002,10.247,9.467,mendung kering
18930,27.76,61,36.03,143,14013,0.235,0.001,10.26,9.234,mendung kering
18931,27.54,56,37.7,143,15772,0.23,0.002,10.142,9.215,mendung kering
18932,28.47,56,33.04,138,16397,0.24,0.001,10.249,9.356,mendung kering
18933,27.25,63,38.81,144,16128,0.229,0.002,10.154,9.301,mendung kering
18934,27.66,56,34.03,138,15475,0.24,0.001,10.264,9.208,mendung kering
18935,27.85,60,33.39,136,14405,0.238,0.001,10.128,9.451,mendung kering
18936,27.62,61,35.59,140,15701,0.239,0.002,10.257,9.297,mendung kering
18937,27.36,58,32.47,138,14413,0.232,0.001,10.17,9.214,mendung kering
18938,28.22,64,31.99,139,15714,0.226,0.001,10.254,9.479,mendung kering
18939,27.7,65,33.31,144,15927,0.226,0.001,10.186,9.41,mendung kering
18940,27.44,60,32.81,142,16288,0.236,0.001,10.194,9.31,mendung kering
18941,28.43,55,34.58,141,15902,0.24,0.001,10.149,9.249,mendung kering
18942,27.63,60,37.45,135,16755,0.243,0.001,10.159,9.234,mendung kering
18943,27.06,63,35.59,136,14935,0.24,0.001,10.213,9.449,mendung kering
18944,28.21,58,33.02,144,15790,0.229,0.001,10.273,9.27,mendung kering
18945,28.34,56,38.37,143,15759,0.243,0.002,10.281,9.467,mendung kering
18946,27.21,59,33.67,142,15117,0.232,0.001,10.25,9.231,mendung kering
18947,27.65,63,39.29,140,14980,0.236,0.001,10.176,9.345,mendung kering
18948,27.72,61,37.35,140,15574,0.232,0.001,10.214,9.448,mendung kering
18949,27.31,60,33.59,139,14736,0.237,0.001,10.218,9.209,mendung kering
18950,27.63,56,35.98,137,16652,0.239,0.001,10.289,9.433,mendung kering
18951,27.62,62,34.6,137,15557,0.241,0.002,10.132,9.404,mendung kering
18952,28.3,57,33.01,136,14700,0.226,0.001,10.229,9.187,mendung kering
18953,28.46,57,32.58,135,16009,0.225,0.002,10.203,9.21,mendung kering
18954,27.68,61,38.96,141,14745,0.238,0.001,10.234,9.429,mendung kering
18955,27.56,64,33.43,144,16646,0.239,0.002,10.182,9.481,mendung kering
18956,28.2,63,38.28,139,15894,0.239,0.002,10.143,9.211,mendung kering
18957,28.14,57,39.11,135,14140,0.241,0.002,10.245,9.24,mendung kering
18958,27.2,64,38.69,145,15070,0.238,0.001,10.163,9.423,mendung kering
18959,27.87,63,37.92,144,14432,0.232,0.001,10.177,9.18,mendung kering
18960,28.23,55,33.29,137,14234,0.237,0.001,10.129,9.477,mendung kering
18961,28.16,56,34.38,139,15573,0.236,0.001,10.186,9.196,mendung kering
18962,27.51,55,32.46,136,16742,0.227,0.001,10.189,9.382,mendung kering
18963,28.3,61,32.82,144,15502,0.241,0.001,10.194,9.408,mendung kering
18964,27.56,56,34.61,135,14987,0.231,0.001,10.138,9.221,mendung kering
18965,27.11,64,37.01,144,16694,0.243,0.001,10.175,9.47,mendung kering
18966,27.8,59,35.58,141,15069,0.225,0.001,10.174,9.391,mendung kering
18967,28.48,55,37.37,141,16136,0.228,0.001,10.264,9.191,mendung kering
18968,27.65,55,34.87,138,15004,0.233,0.002,10.203,9.406,mendung kering
18969,28.21,56,33.33,138,14936,0.227,0.001,10.148,9.273,mendung kering
18970,27.24,55,37.58,141,14433,0.238,0.002,10.148,9.483,mendung kering
18971,28.29,58,37.64,139,14342,0.239,0.002,10.289,9.426,mendung kering
18972,27.03,62,33.6,142,16140,0.225,0.001,10.195,9.403,mendung kering
18973,27.87,61,37.42,138,14967,0.23,0.002,10.169,9.31,mendung kering
18974,28.46,59,36.91,140,14762,0.235,0.001,10.22,9.285,mendung kering
18975,28.09,55,33.36,144,14477,0.225,0.001,10.188,9.386,mendung kering
18976,28.25,58,32.63,142,16289,0.232,0.001,10.228,9.223,mendung kering
18977,28.07,64,33.7,144,16467,0.233,0.002,10.167,9.453,mendung kering
18978,27.45,62,37.68,142,14443,0.226,0.001,10.184,9.307,mendung kering
18979,28.14,55,36.3,143,14826,0.238,0.002,10.288,9.31,mendung kering
18980,27.46,64,33.6,145,14092,0.226,0.001,10.25,9.203,mendung kering
18981,27.04,59,35.29,140,14026,0.238,0.001,10.27,9.439,mendung kering
18982,27.66,57,31.98,145,14524,0.229,0.002,10.257,9.267,mendung kering
18983,27.49,64,35.26,145,14679,0.23,0.002,10.135,9.209,mendung kering
18984,27.59,60,31.11,138,16329,0.243,0.001,10.128,9.216,mendung kering
18985,28.0,64,36.94,141,16195,0.238,0.002,10.179,9.192,mendung kering
18986,28.07,55,35.82,138,14838,0.227,0.001,10.172,9.232,mendung kering
18987,27.89,63,32.94,145,14991,0.231,0.002,10.204,9.296,mendung kering
18988,27.94,58,35.32,139,14998,0.24,0.002,10.261,9.401,mendung kering
18989,27.18,59,34.12,136,15285,0.232,0.001,10.153,9.285,mendung kering
18990,28.3,57,38.04,145,16508,0.231,0.001,10.196,9.459,mendung kering
18991,28.13,62,35.92,136,16288,0.228,0.001,10.154,9.439,mendung kering
18992,28.1,61,37.74,139,14016,0.243,0.001,10.187,9.392,mendung kering
18993,28.15,65,35.96,139,14918,0.239,0.002,10.155,9.308,mendung kering
18994,27.18,62,35.58,139,16526,0.233,0.001,10.224,9.308,mendung kering
18995,28.37,58,37.68,142,15232,0.234,0.002,10.258,9.405,mendung kering
18996,27.86,55,36.73,135,16644,0.227,0.002,10.169,9.261,mendung kering
18997,27.37,63,36.06,141,15955,0.241,0.001,10.173,9.271,mendung kering
18998,27.81,58,36.63,143,15761,0.229,0.002,10.146,9.201,mendung kering
18999,27.23,64,37.74,136,14449,0.229,0.001,10.254,9.251,mendung kering
19000,28.27,60,35.21,136,15231,0.235,0.002,10.149,9.197,mendung kering
19001,27.91,58,36.95,143,15952,0.237,0.002,10.267,9.314,mendung kering
19002,28.39,55,37.69,141,14571,0.227,0.002,10.267,9.48,mendung kering
19003,27.17,58,34.74,135,16766,0.228,0.002,10.154,9.407,mendung kering
19004,27.71,57,34.9,136,15516,0.226,0.001,10.158,9.205,mendung kering
19005,28.49,57,31.53,141,15587,0.237,0.002,10.279,9.435,mendung kering
19006,27.99,63,36.91,140,14884,0.228,0.001,10.2,9.411,mendung kering
19007,27.13,55,38.52,144,16780,0.243,0.001,10.258,9.49,mendung kering
19008,28.46,57,37.48,144,14813,0.23,0.002,10.247,9.425,mendung kering
19009,28.22,64,37.61,135,14289,0.242,0.001,10.178,9.453,mendung kering
19010,28.06,55,33.33,136,14463,0.24,0.001,10.18,9.33,mendung kering
19011,27.29,63,39.11,142,15139,0.231,0.001,10.135,9.178,mendung kering
19012,27.38,58,35.51,138,14647,0.239,0.001,10.241,9.266,mendung kering
19013,27.78,60,31.06,135,15650,0.233,0.002,10.129,9.441,mendung kering
19014,27.42,64,33.64,142,16690,0.227,0.002,10.286,9.428,mendung kering
19015,27.68,64,37.8,140,15765,0.231,0.002,10.139,9.366,mendung kering
19016,27.43,56,32.54,142,16326,0.226,0.001,10.255,9.282,mendung kering
19017,28.02,59,32.59,138,14536,0.236,0.001,10.242,9.232,mendung kering
19018,28.07,60,39.27,141,14907,0.229,0.002,10.265,9.427,mendung kering
19019,28.14,63,37.02,135,14747,0.231,0.001,10.234,9.291,mendung kering
19020,28.25,58,39.15,145,15911,0.228,0.001,10.137,9.294,mendung kering
19021,27.68,63,38.68,138,16719,0.231,0.001,10.169,9.315,mendung kering
19022,27.2,65,39.42,142,14178,0.239,0.002,10.28,9.411,mendung kering
19023,28.37,65,38.2,142,16461,0.24,0.001,10.215,9.334,mendung kering
19024,28.05,58,39.01,138,16201,0.226,0.002,10.243,9.447,mendung kering
19025,27.99,57,32.17,139,16126,0.242,0.002,10.267,9.273,mendung kering
19026,27.59,57,34.66,142,15455,0.239,0.002,10.261,9.285,mendung kering
19027,27.19,58,35.89,138,15177,0.237,0.002,10.231,9.222,mendung kering
19028,28.44,58,38.75,142,16396,0.227,0.001,10.253,9.223,mendung kering
19029,28.47,58,37.89,143,15571,0.235,0.001,10.272,9.276,mendung kering
19030,27.66,60,39.07,136,15893,0.23,0.002,10.264,9.436,mendung kering
19031,28.05,55,36.87,144,14767,0.243,0.001,10.201,9.45,mendung kering
19032,28.17,64,31.76,141,14114,0.239,0.001,10.289,9.411,mendung kering
19033,27.64,59,39.0,138,16506,0.242,0.002,10.135,9.272,mendung kering
19034,27.36,60,35.22,140,14695,0.24,0.002,10.252,9.291,mendung kering
19035,27.93,65,34.52,144,14473,0.23,0.001,10.262,9.345,mendung kering
19036,27.49,55,35.79,135,15872,0.225,0.001,10.158,9.338,mendung kering
19037,27.65,55,36.42,135,14160,0.232,0.001,10.133,9.24,mendung kering
19038,27.26,63,37.2,140,14756,0.225,0.001,10.128,9.276,mendung kering
19039,27.46,56,31.27,139,14937,0.238,0.002,10.214,9.196,mendung kering
19040,27.28,65,37.47,141,15262,0.233,0.002,10.183,9.48,mendung kering
19041,27.15,62,34.74,136,16021,0.235,0.002,10.163,9.427,mendung kering
19042,28.16,61,37.42,138,16754,0.243,0.001,10.225,9.406,mendung kering
19043,28.18,56,39.46,145,14649,0.237,0.001,10.166,9.447,mendung kering
19044,28.29,59,34.84,136,16752,0.233,0.002,10.209,9.337,mendung kering
19045,27.53,59,32.03,144,16503,0.234,0.001,10.236,9.233,mendung kering
19046,27.09,59,35.83,144,15044,0.235,0.001,10.224,9.208,mendung kering
19047,27.91,62,31.8,140,15453,0.231,0.001,10.155,9.296,mendung kering
19048,27.88,64,33.06,139,14065,0.228,0.001,10.236,9.368,mendung kering
19049,27.22,65,37.1,136,15053,0.232,0.001,10.246,9.313,mendung kering
19050,28.45,56,38.36,142,16542,0.234,0.001,10.247,9.406,mendung kering
19051,27.36,62,39.18,139,14215,0.242,0.001,10.202,9.459,mendung kering
19052,27.09,57,36.58,138,15682,0.239,0.002,10.172,9.472,mendung kering
19053,27.45,58,38.24,136,16306,0.242,0.001,10.167,9.238,mendung kering
19054,28.07,59,34.93,142,14548,0.238,0.001,10.168,9.334,mendung kering
19055,27.21,57,32.12,142,14495,0.238,0.001,10.142,9.326,mendung kering
19056,27.7,61,37.79,136,15523,0.239,0.001,10.265,9.333,mendung kering
19057,28.07,60,38.05,138,15620,0.241,0.001,10.265,9.361,mendung kering
19058,27.92,58,32.71,140,15527,0.228,0.002,10.286,9.338,mendung kering
19059,27.5,60,32.98,140,15600,0.233,0.001,10.191,9.408,mendung kering
19060,27.77,61,39.01,144,16231,0.23,0.001,10.175,9.357,mendung kering
19061,28.13,63,33.03,140,16069,0.241,0.001,10.173,9.183,mendung kering
19062,27.51,65,33.63,144,14890,0.232,0.001,10.166,9.416,mendung kering
19063,28.25,65,32.9,136,16097,0.231,0.001,10.226,9.337,mendung kering
19064,28.43,61,31.56,142,15812,0.236,0.002,10.234,9.263,mendung kering
19065,28.3,65,37.57,144,16398,0.231,0.001,10.165,9.342,mendung kering
19066,27.67,55,38.5,139,14443,0.237,0.002,10.27,9.452,mendung kering
19067,27.94,56,31.22,135,16352,0.234,0.002,10.231,9.405,mendung kering
19068,27.84,59,38.43,140,15402,0.225,0.001,10.194,9.353,mendung kering
19069,28.24,64,31.67,141,16666,0.228,0.001,10.137,9.277,mendung kering
19070,27.77,61,37.72,145,15554,0.235,0.001,10.215,9.365,mendung kering
19071,27.68,65,36.0,138,16010,0.232,0.002,10.252,9.411,mendung kering
19072,27.44,64,35.38,141,15539,0.233,0.001,10.254,9.218,mendung kering
19073,28.41,59,36.78,139,16446,0.241,0.002,10.155,9.353,mendung kering
19074,28.48,60,33.93,135,14572,0.233,0.001,10.217,9.395,mendung kering
19075,27.6,57,38.29,137,15024,0.231,0.002,10.25,9.179,mendung kering
19076,27.37,55,31.86,144,16078,0.232,0.002,10.249,9.199,mendung kering
19077,27.5,57,36.9,142,15994,0.239,0.001,10.23,9.392,mendung kering
19078,27.3,62,31.7,136,16441,0.232,0.001,10.209,9.264,mendung kering
19079,27.9,58,34.12,137,16037,0.231,0.001,10.244,9.359,mendung kering
19080,28.35,56,36.29,144,15500,0.231,0.002,10.233,9.476,mendung kering
19081,27.53,55,35.28,145,16355,0.237,0.001,10.255,9.309,mendung kering
19082,27.32,55,37.77,141,15629,0.238,0.002,10.27,9.263,mendung kering
19083,27.84,63,36.94,139,14412,0.235,0.002,10.153,9.352,mendung kering
19084,27.61,62,32.82,142,14719,0.232,0.002,10.238,9.32,mendung kering
19085,27.9,58,38.99,137,16349,0.242,0.002,10.166,9.205,mendung kering
19086,27.78,57,33.57,138,15878,0.234,0.001,10.166,9.437,mendung kering
19087,27.96,55,32.02,145,13989,0.231,0.002,10.159,9.211,mendung kering
19088,27.3,61,34.46,135,14869,0.238,0.002,10.221,9.351,mendung kering
19089,27.85,61,36.84,136,14073,0.24,0.002,10.188,9.275,mendung kering
19090,28.12,55,33.08,139,14363,0.243,0.001,10.227,9.182,mendung kering
19091,28.19,65,35.34,144,15818,0.24,0.002,10.252,9.404,mendung kering
19092,28.42,58,36.92,137,14844,0.236,0.001,10.221,9.362,mendung kering
19093,27.3,62,38.74,141,14342,0.229,0.001,10.25,9.408,mendung kering
19094,27.31,55,34.34,141,14713,0.234,0.001,10.264,9.316,mendung kering
19095,28.5,56,38.89,144,15391,0.232,0.002,10.167,9.258,mendung kering
19096,27.63,58,31.9,145,14125,0.231,0.002,10.155,9.244,mendung kering
19097,27.2,57,34.86,142,16004,0.234,0.001,10.271,9.309,mendung kering
19098,28.23,64,33.78,137,16178,0.226,0.002,10.214,9.488,mendung kering
19099,28.15,61,33.0,142,14603,0.232,0.002,10.197,9.446,mendung kering
19100,27.43,58,31.34,142,14912,0.228,0.001,10.253,9.415,mendung kering
19101,28.26,58,36.36,140,15306,0.239,0.001,10.252,9.341,mendung kering
19102,27.2,56,37.66,144,16524,0.228,0.001,10.148,9.223,mendung kering
19103,27.49,60,36.05,136,14411,0.226,0.001,10.209,9.178,mendung kering
19104,27.92,60,35.64,143,16195,0.239,0.002,10.166,9.373,mendung kering
19105,27.19,63,33.7,143,14420,0.239,0.001,10.14,9.241,mendung kering
19106,28.07,63,39.05,145,15706,0.24,0.002,10.247,9.182,mendung kering
19107,27.22,62,33.34,145,16120,0.242,0.002,10.239,9.231,mendung kering
19108,28.45,63,36.41,138,15242,0.235,0.001,10.17,9.432,mendung kering
19109,27.31,65,35.31,139,14220,0.234,0.001,10.167,9.281,mendung kering
19110,27.73,59,39.04,142,15884,0.226,0.001,10.242,9.465,mendung kering
19111,27.09,57,32.76,136,16192,0.233,0.002,10.264,9.333,mendung kering
19112,27.12,59,38.65,138,15721,0.231,0.001,10.155,9.455,mendung kering
19113,27.32,57,36.62,135,15706,0.225,0.001,10.221,9.256,mendung kering
19114,28.14,61,36.69,140,14720,0.228,0.002,10.24,9.478,mendung kering
19115,27.24,56,34.1,136,14931,0.23,0.001,10.151,9.426,mendung kering
19116,28.2,59,34.24,139,14290,0.238,0.001,10.285,9.278,mendung kering
19117,28.22,59,33.15,143,14287,0.232,0.001,10.188,9.43,mendung kering
19118,27.71,57,32.55,138,16201,0.239,0.001,10.148,9.347,mendung kering
19119,27.11,64,36.27,144,15290,0.238,0.002,10.172,9.375,mendung kering
19120,27.39,65,32.8,136,14853,0.232,0.002,10.216,9.423,mendung kering
19121,27.23,58,36.38,135,14934,0.23,0.001,10.261,9.282,mendung kering
19122,27.15,60,31.77,140,14186,0.241,0.001,10.254,9.191,mendung kering
19123,27.5,58,36.85,138,16340,0.241,0.002,10.245,9.46,mendung kering
19124,27.76,57,31.91,137,16325,0.228,0.002,10.144,9.342,mendung kering
19125,28.16,56,32.95,136,16162,0.242,0.002,10.233,9.257,mendung kering
19126,27.55,56,38.49,137,15264,0.235,0.001,10.281,9.328,mendung kering
19127,27.34,59,32.19,142,15476,0.225,0.001,10.166,9.441,mendung kering
19128,27.92,56,33.28,135,15551,0.228,0.001,10.142,9.481,mendung kering
19129,27.35,62,36.78,142,16647,0.239,0.002,10.159,9.204,mendung kering
19130,27.49,61,38.3,135,15180,0.243,0.001,10.259,9.238,mendung kering
19131,28.42,62,35.38,137,15860,0.231,0.002,10.19,9.304,mendung kering
19132,27.04,62,32.53,137,15247,0.231,0.001,10.18,9.436,mendung kering
19133,27.52,60,35.58,136,14023,0.238,0.001,10.136,9.225,mendung kering
19134,28.38,57,35.86,145,14639,0.232,0.002,10.177,9.257,mendung kering
19135,27.26,56,36.82,142,16188,0.24,0.002,10.192,9.419,mendung kering
19136,28.13,65,34.64,142,14578,0.235,0.002,10.198,9.373,mendung kering
19137,28.37,64,38.52,138,15902,0.24,0.002,10.249,9.236,mendung kering
19138,27.94,60,31.94,139,15333,0.235,0.002,10.13,9.311,mendung kering
19139,27.03,65,36.95,139,15979,0.238,0.002,10.213,9.253,mendung kering
19140,27.39,57,31.66,136,15002,0.226,0.001,10.14,9.335,mendung kering
19141,27.57,61,33.14,143,14286,0.229,0.002,10.186,9.399,mendung kering
19142,28.32,58,39.48,136,16432,0.236,0.001,10.286,9.455,mendung kering
19143,27.43,64,31.18,135,16671,0.231,0.002,10.195,9.419,mendung kering
19144,28.46,64,38.45,135,16691,0.228,0.002,10.235,9.278,mendung kering
19145,27.97,55,39.47,139,14842,0.225,0.001,10.193,9.195,mendung kering
19146,27.81,55,35.36,137,14525,0.24,0.002,10.186,9.209,mendung kering
19147,27.72,63,37.9,144,16726,0.243,0.001,10.196,9.437,mendung kering
19148,28.31,64,33.15,144,14518,0.235,0.001,10.281,9.178,mendung kering
19149,27.04,62,32.66,138,15355,0.232,0.002,10.267,9.484,mendung kering
19150,27.74,59,36.87,140,14750,0.242,0.002,10.257,9.193,mendung kering
19151,27.0,59,38.44,141,15035,0.23,0.001,10.135,9.232,mendung kering
19152,27.73,57,34.8,141,14459,0.232,0.002,10.172,9.221,mendung kering
19153,27.65,59,34.68,136,16488,0.235,0.001,10.182,9.443,mendung kering
19154,27.42,62,38.45,137,14149,0.237,0.002,10.149,9.185,mendung kering
19155,27.71,62,37.38,139,15243,0.239,0.001,10.223,9.181,mendung kering
19156,28.26,62,39.15,139,14971,0.241,0.002,10.269,9.264,mendung kering
19157,28.13,60,37.19,137,14761,0.241,0.001,10.18,9.407,mendung kering
19158,28.02,59,34.14,137,14382,0.23,0.001,10.141,9.251,mendung kering
19159,27.98,56,38.96,138,14139,0.228,0.002,10.132,9.456,mendung kering
19160,27.34,61,38.63,137,16653,0.241,0.002,10.148,9.254,mendung kering
19161,27.9,58,31.97,137,16569,0.239,0.002,10.164,9.321,mendung kering
19162,27.51,64,35.49,143,15230,0.24,0.001,10.205,9.379,mendung kering
19163,27.44,65,31.91,139,16364,0.227,0.002,10.283,9.291,mendung kering
19164,27.53,60,32.55,145,16334,0.233,0.001,10.164,9.488,mendung kering
19165,28.28,59,34.31,136,15655,0.225,0.002,10.229,9.268,mendung kering
19166,28.48,60,31.79,141,15267,0.229,0.002,10.148,9.306,mendung kering
19167,27.67,60,33.37,139,15487,0.228,0.001,10.265,9.379,mendung kering
19168,28.32,55,38.74,141,15560,0.235,0.002,10.149,9.446,mendung kering
19169,27.7,64,33.46,143,15620,0.238,0.002,10.246,9.225,mendung kering
19170,28.0,65,37.7,137,16667,0.227,0.002,10.286,9.463,mendung kering
19171,27.71,57,36.51,141,15139,0.242,0.002,10.166,9.195,mendung kering
19172,28.34,64,35.14,141,14031,0.225,0.001,10.251,9.472,mendung kering
19173,27.24,58,37.16,144,14710,0.229,0.002,10.142,9.326,mendung kering
19174,28.49,64,39.3,143,15998,0.233,0.001,10.221,9.181,mendung kering
19175,27.41,61,39.08,138,15743,0.23,0.001,10.275,9.391,mendung kering
19176,27.34,55,35.6,142,15799,0.233,0.001,10.139,9.263,mendung kering
19177,28.13,62,37.77,142,15452,0.226,0.002,10.157,9.455,mendung kering
19178,28.5,62,33.52,136,15088,0.233,0.001,10.19,9.235,mendung kering
19179,28.11,61,32.09,138,14728,0.231,0.001,10.204,9.384,mendung kering
19180,28.39,57,33.42,138,16047,0.238,0.002,10.281,9.453,mendung kering
19181,27.08,60,34.36,145,15549,0.239,0.001,10.147,9.473,mendung kering
19182,27.83,65,39.3,140,16589,0.229,0.002,10.255,9.489,mendung kering
19183,28.03,63,31.16,142,14129,0.231,0.001,10.254,9.289,mendung kering
19184,27.5,56,37.95,144,15311,0.243,0.002,10.263,9.396,mendung kering
19185,28.19,55,38.98,141,16170,0.225,0.002,10.227,9.44,mendung kering
19186,28.37,57,33.72,140,14435,0.226,0.001,10.212,9.33,mendung kering
19187,27.46,55,34.88,145,15062,0.233,0.001,10.162,9.419,mendung kering
19188,27.08,65,39.09,141,15261,0.243,0.001,10.207,9.312,mendung kering
19189,27.47,61,37.72,137,16296,0.24,0.001,10.287,9.253,mendung kering
19190,28.23,58,38.73,141,15949,0.231,0.001,10.222,9.349,mendung kering
19191,28.15,59,36.85,141,15714,0.238,0.002,10.176,9.277,mendung kering
19192,28.04,65,33.15,145,16700,0.227,0.002,10.261,9.487,mendung kering
19193,27.3,60,34.86,140,15087,0.239,0.001,10.169,9.363,mendung kering
19194,28.04,62,31.43,141,15177,0.238,0.002,10.269,9.376,mendung kering
19195,28.06,62,31.07,139,16007,0.228,0.002,10.188,9.212,mendung kering
19196,28.4,65,35.53,144,14393,0.237,0.001,10.188,9.353,mendung kering
19197,27.71,55,37.0,139,14482,0.241,0.001,10.255,9.236,mendung kering
19198,27.52,57,38.8,143,14701,0.236,0.002,10.22,9.2,mendung kering
19199,27.56,63,35.84,141,15384,0.24,0.001,10.178,9.36,mendung kering
19200,27.78,64,37.87,142,15149,0.229,0.001,10.182,9.33,mendung kering
19201,28.0,55,34.71,135,13992,0.236,0.002,10.186,9.261,mendung kering
19202,28.48,59,39.24,141,15887,0.231,0.001,10.148,9.351,mendung kering
19203,27.56,63,32.98,143,15042,0.225,0.001,10.245,9.272,mendung kering
19204,27.29,59,31.02,136,14680,0.232,0.002,10.196,9.347,mendung kering
19205,27.82,64,32.96,141,16057,0.226,0.001,10.271,9.354,mendung kering
19206,27.09,59,36.88,140,14841,0.235,0.002,10.201,9.231,mendung kering
19207,28.3,58,31.67,138,15925,0.226,0.002,10.13,9.381,mendung kering
19208,27.71,65,31.82,145,16428,0.235,0.002,10.226,9.382,mendung kering
19209,27.78,59,33.82,139,15407,0.24,0.002,10.26,9.472,mendung kering
19210,27.11,57,31.21,139,16638,0.231,0.001,10.262,9.348,mendung kering
19211,27.24,64,32.38,143,16338,0.225,0.002,10.132,9.472,mendung kering
19212,28.0,63,38.09,135,15823,0.226,0.002,10.138,9.463,mendung kering
19213,27.64,65,33.54,141,16029,0.225,0.001,10.196,9.227,mendung kering
19214,27.22,62,31.92,139,15002,0.23,0.002,10.135,9.307,mendung kering
19215,27.15,62,31.83,139,16230,0.227,0.001,10.276,9.185,mendung kering
19216,27.56,64,32.17,145,15821,0.231,0.001,10.139,9.44,mendung kering
19217,27.78,60,35.31,137,14759,0.232,0.002,10.26,9.475,mendung kering
19218,27.71,59,31.91,141,16098,0.237,0.002,10.25,9.245,mendung kering
19219,27.38,65,33.22,141,16218,0.229,0.002,10.239,9.431,mendung kering
19220,27.72,63,35.79,138,15087,0.233,0.001,10.229,9.336,mendung kering
19221,27.21,65,32.48,140,15072,0.243,0.002,10.19,9.39,mendung kering
19222,28.26,55,35.42,140,16001,0.236,0.002,10.283,9.248,mendung kering
19223,27.05,63,33.4,143,16319,0.23,0.001,10.255,9.307,mendung kering
19224,28.29,62,31.78,143,15881,0.242,0.002,10.243,9.358,mendung kering
19225,28.5,62,35.08,136,16027,0.234,0.001,10.226,9.391,mendung kering
19226,27.28,64,36.68,141,15234,0.24,0.001,10.144,9.261,mendung kering
19227,28.36,62,35.73,142,16627,0.229,0.002,10.146,9.44,mendung kering
19228,28.16,57,38.87,135,16520,0.23,0.001,10.281,9.268,mendung kering
19229,27.68,64,33.13,137,15006,0.228,0.001,10.212,9.254,mendung kering
19230,28.47,63,34.18,140,14122,0.234,0.002,10.165,9.468,mendung kering
19231,27.45,55,31.39,140,16651,0.225,0.002,10.279,9.346,mendung kering
19232,27.04,65,37.61,137,16026,0.24,0.002,10.264,9.477,mendung kering
19233,27.45,61,33.24,141,16081,0.236,0.001,10.186,9.424,mendung kering
19234,27.13,62,38.78,141,14291,0.24,0.001,10.133,9.452,mendung kering
19235,27.82,61,33.48,138,15493,0.226,0.002,10.219,9.408,mendung kering
19236,27.3,60,36.64,137,14895,0.235,0.001,10.23,9.482,mendung kering
19237,27.4,58,32.92,145,14255,0.228,0.001,10.246,9.256,mendung kering
19238,27.64,65,38.89,136,14743,0.227,0.001,10.254,9.245,mendung kering
19239,27.34,64,37.65,139,13989,0.231,0.001,10.211,9.215,mendung kering
19240,28.11,63,37.46,136,15294,0.236,0.002,10.162,9.224,mendung kering
19241,28.06,55,31.06,137,16399,0.241,0.002,10.171,9.246,mendung kering
19242,27.99,62,37.48,143,15516,0.24,0.002,10.257,9.369,mendung kering
